source,operator,candidate_destinations,original_forward_destination,tournament_destination,confidence,match_original,returned_model,run_dir
F1,BRIDGE,F4|F9|P1|P3,P3,P3,0.51,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233607Z_relop-tournament-F1-bridge_live
F1,CONTRADICT,F4|F9|P1|P3,P1,F9,0.27,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233607Z_relop-tournament-F1-contradict_live
F1,DEVELOP,F4|F9|P1|P3,F4,F4,0.29,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233607Z_relop-tournament-F1-develop_live
F1,ECHO,F4|F9|P1|P3,F9,F9,0.93,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233606Z_relop-tournament-F1-echo_live
F2,BRIDGE,F4|P1,P1,P1,0.07,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233609Z_relop-tournament-F2-bridge_live
F2,CONTRADICT,F4|P1,P1,P1,0.35,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233609Z_relop-tournament-F2-contradict_live
F2,DEVELOP,F4|P1,F4,F4,0.96,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233608Z_relop-tournament-F2-develop_live
F2,ECHO,F4|P1,F4,F4,0.9,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233608Z_relop-tournament-F2-echo_live
F3,BRIDGE,F4|P1|P3,P3,P3,0.38,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233611Z_relop-tournament-F3-bridge_live
F3,CONTRADICT,F4|P1|P3,P1,P1,0.21,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233611Z_relop-tournament-F3-contradict_live
F3,DEVELOP,F4|P1|P3,F4,F4,0.84,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233610Z_relop-tournament-F3-develop_live
F3,ECHO,F4|P1|P3,F4,F4,0.97,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233610Z_relop-tournament-F3-echo_live
F4,BRIDGE,F3|P1|P3,P3,P3,0.42,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233613Z_relop-tournament-F4-bridge_live
F4,CONTRADICT,F3|P1|P3,P1,P1,0.3,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233612Z_relop-tournament-F4-contradict_live
F4,DEVELOP,F3|P1|P3,F3,F3,0.25,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233612Z_relop-tournament-F4-develop_live
F4,ECHO,F3|P1|P3,F3,F3,0.93,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233612Z_relop-tournament-F4-echo_live
F5,BRIDGE,F7|P1,P1,P1,0.06,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233615Z_relop-tournament-F5-bridge_live
F5,CONTRADICT,F7|P1,P1,P1,0.69,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233614Z_relop-tournament-F5-contradict_live
F5,DEVELOP,F7|P1,F7,F7,0.82,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233614Z_relop-tournament-F5-develop_live
F5,ECHO,F7|P1,F7,F7,0.8,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233613Z_relop-tournament-F5-echo_live
F6,BRIDGE,F4|P1|P3|P5,P3,P3,0.59,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233617Z_relop-tournament-F6-bridge_live
F6,CONTRADICT,F4|P1|P3|P5,P1,P1,0.19,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233616Z_relop-tournament-F6-contradict_live
F6,DEVELOP,F4|P1|P3|P5,F4,F4,0.34,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233616Z_relop-tournament-F6-develop_live
F6,ECHO,F4|P1|P3|P5,P5,P5,0.42,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233615Z_relop-tournament-F6-echo_live
F7,BRIDGE,F5|F8|P1,P1,F5,0.2,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233619Z_relop-tournament-F7-bridge_live
F7,CONTRADICT,F5|F8|P1,F8,F8,0.79,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233618Z_relop-tournament-F7-contradict_live
F7,DEVELOP,F5|F8|P1,F8,F5,0.39,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233618Z_relop-tournament-F7-develop_live
F7,ECHO,F5|F8|P1,F5,F5,0.94,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233617Z_relop-tournament-F7-echo_live
F8,BRIDGE,F1|F7|P1,P1,P1,0.47,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233621Z_relop-tournament-F8-bridge_live
F8,CONTRADICT,F1|F7|P1,F7,F7,0.29,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233620Z_relop-tournament-F8-contradict_live
F8,DEVELOP,F1|F7|P1,F7,F7,0.52,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233620Z_relop-tournament-F8-develop_live
F8,ECHO,F1|F7|P1,F1,F1,0.45,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233619Z_relop-tournament-F8-echo_live
F9,BRIDGE,F10|P1,P1,P1,0.27,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233623Z_relop-tournament-F9-bridge_live
F9,CONTRADICT,F10|P1,P1,P1,0.74,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233622Z_relop-tournament-F9-contradict_live
F9,DEVELOP,F10|P1,F10,F10,0.86,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233622Z_relop-tournament-F9-develop_live
F9,ECHO,F10|P1,F10,F10,0.99,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233621Z_relop-tournament-F9-echo_live
F10,BRIDGE,F4|F9|P1|P3,P3,P3,0.51,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233624Z_relop-tournament-F10-bridge_live
F10,CONTRADICT,F4|F9|P1|P3,P1,P1,0.24,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233624Z_relop-tournament-F10-contradict_live
F10,DEVELOP,F4|F9|P1|P3,F4,F4,0.59,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233623Z_relop-tournament-F10-develop_live
F10,ECHO,F4|F9|P1|P3,F9,F9,0.98,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233623Z_relop-tournament-F10-echo_live
F11,BRIDGE,F10|P1,F10,F10,0.04,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233626Z_relop-tournament-F11-bridge_live
F11,CONTRADICT,F10|P1,P1,P1,0.95,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233626Z_relop-tournament-F11-contradict_live
F11,DEVELOP,F10|P1,F10,F10,0.69,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233625Z_relop-tournament-F11-develop_live
F11,ECHO,F10|P1,F10,F10,0.91,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233625Z_relop-tournament-F11-echo_live
F12,BRIDGE,F4|P3|P6|P8,P3,P3,0.69,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233628Z_relop-tournament-F12-bridge_live
F12,CONTRADICT,F4|P3|P6|P8,P6,P6,0.37,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233627Z_relop-tournament-F12-contradict_live
F12,DEVELOP,F4|P3|P6|P8,F4,F4,0.61,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233627Z_relop-tournament-F12-develop_live
F12,ECHO,F4|P3|P6|P8,P8,P8,0.97,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233627Z_relop-tournament-F12-echo_live
P1,BRIDGE,F11|P2,P2,P2,0.64,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233630Z_relop-tournament-P1-bridge_live
P1,CONTRADICT,F11|P2,F11,F11,0.75,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233629Z_relop-tournament-P1-contradict_live
P1,DEVELOP,F11|P2,P2,P2,0.28,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233629Z_relop-tournament-P1-develop_live
P1,ECHO,F11|P2,P2,P2,0.77,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233628Z_relop-tournament-P1-echo_live
P3,BRIDGE,F4|P2,F4,F4,0.66,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233632Z_relop-tournament-P3-bridge_live
P3,CONTRADICT,F4|P2,P2,P2,0.54,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233631Z_relop-tournament-P3-contradict_live
P3,DEVELOP,F4|P2,P2,F4,0.4,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233631Z_relop-tournament-P3-develop_live
P3,ECHO,F4|P2,P2,P2,0.94,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233630Z_relop-tournament-P3-echo_live
P4,BRIDGE,P3|P7|P8,P3,P3,0.87,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233633Z_relop-tournament-P4-bridge_live
P4,CONTRADICT,P3|P7|P8,P7,P3,0.31,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233633Z_relop-tournament-P4-contradict_live
P4,DEVELOP,P3|P7|P8,P8,P3,0.46,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233632Z_relop-tournament-P4-develop_live
P4,ECHO,P3|P7|P8,P8,P8,0.33,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233632Z_relop-tournament-P4-echo_live
P5,BRIDGE,F5|F11|P3,P3,P3,0.85,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233635Z_relop-tournament-P5-bridge_live
P5,CONTRADICT,F5|F11|P3,F11,P3,0.11,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233635Z_relop-tournament-P5-contradict_live
P5,DEVELOP,F5|F11|P3,P3,P3,0.63,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233634Z_relop-tournament-P5-develop_live
P5,ECHO,F5|F11|P3,F5,P3,0.1,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233634Z_relop-tournament-P5-echo_live
P6,BRIDGE,F12|P3|P7,P3,P3,0.75,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233637Z_relop-tournament-P6-bridge_live
P6,CONTRADICT,F12|P3|P7,P7,P3,0.34,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233637Z_relop-tournament-P6-contradict_live
P6,DEVELOP,F12|P3|P7,F12,P3,0.2,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233636Z_relop-tournament-P6-develop_live
P6,ECHO,F12|P3|P7,F12,F12,0.35,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233636Z_relop-tournament-P6-echo_live
P8,BRIDGE,F12|P6,F12,F12,0.61,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233639Z_relop-tournament-P8-bridge_live
P8,CONTRADICT,F12|P6,P6,P6,0.45,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233638Z_relop-tournament-P8-contradict_live
P8,DEVELOP,F12|P6,F12,F12,0.63,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233638Z_relop-tournament-P8-develop_live
P8,ECHO,F12|P6,F12,F12,1.0,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T233637Z_relop-tournament-P8-echo_live
